number,author,dependabot,category,title,created_at,merged_at,url
42250,rusackas,False,other,test(core): pin dashboard save-error toast mapping for non-JSON 403 responses,2026-07-20T17:13:49Z,2026-08-12T18:49:12Z,https://github.com/apache/superset/pull/42250
42283,aminghadersohi,False,fix,fix(mcp): reject unparseable time_range instead of silently matching full table,2026-07-21T19:40:55Z,2026-08-04T23:45:31Z,https://github.com/apache/superset/pull/42283
42284,hughhhh,False,feature,feat(dashboard): handle empty chart query context in Excel export,2026-07-21T20:03:28Z,2026-08-11T01:12:08Z,https://github.com/apache/superset/pull/42284
42296,rusackas,False,feature,feat(chart): let Drill By scope to the clicked x-axis value,2026-07-22T00:34:10Z,2026-08-14T00:02:28Z,https://github.com/apache/superset/pull/42296
42297,aminghadersohi,False,feature,feat(mcp): per-resource token scopes with user-permission intersection,2026-07-22T03:49:17Z,2026-08-18T17:11:27Z,https://github.com/apache/superset/pull/42297
42299,prathamesh04,False,fix,fix: last date label hidden on time series x-axis (#39899),2026-07-22T06:27:22Z,2026-08-21T16:59:07Z,https://github.com/apache/superset/pull/42299
42300,rusackas,False,fix,fix(echarts): truncate values at Y axis bounds instead of dropping them,2026-07-22T06:33:48Z,2026-08-13T09:30:57Z,https://github.com/apache/superset/pull/42300
42309,rusackas,False,feature,feat(maps): Add Italy regions and autonomous provinces country map,2026-07-22T15:23:13Z,2026-08-25T22:45:32Z,https://github.com/apache/superset/pull/42309
42339,prathamesh04,False,other,refactor(tags): align ExportTagsCommand with ExportModelsCommand,2026-07-23T09:33:41Z,2026-08-13T04:44:54Z,https://github.com/apache/superset/pull/42339
42366,eschutho,False,fix,fix(jinja): handle UndefinedError from virtual dataset templates,2026-07-23T23:31:02Z,2026-08-04T00:09:31Z,https://github.com/apache/superset/pull/42366
42371,gkneighb,False,feature,feat(waterfall): add show/hide toggles for X and Y axes,2026-07-24T02:55:06Z,2026-08-27T03:29:26Z,https://github.com/apache/superset/pull/42371
42390,aminghadersohi,False,fix,fix(sqllab): retry table metadata preview after OAuth2 redirect,2026-07-24T15:39:04Z,2026-08-05T01:32:14Z,https://github.com/apache/superset/pull/42390
42392,hainenber,False,fix,fix(plugin/chart/parallel-coordinate): prevent frontend crash with empty/undefined metrics when moving between pages quickly,2026-07-24T16:11:13Z,2026-08-24T18:44:50Z,https://github.com/apache/superset/pull/42392
42393,sadpandajoe,False,fix,fix(datasets): preserve metric/column uuids on dataset export,2026-07-24T17:22:46Z,2026-08-07T18:15:25Z,https://github.com/apache/superset/pull/42393
42402,sadpandajoe,False,fix,fix(deckgl): hide legend when Legend Position is None,2026-07-24T22:29:09Z,2026-08-10T18:24:36Z,https://github.com/apache/superset/pull/42402
42406,rusackas,False,other,test(playwright): pin drill-to-detail modal table height,2026-07-25T03:01:07Z,2026-08-13T05:48:50Z,https://github.com/apache/superset/pull/42406
42409,SEPURI-SAI-KRISHNA,False,fix,fix(lru-cache): don't evict another entry when overwriting an existing key,2026-07-25T05:14:51Z,2026-08-10T19:29:20Z,https://github.com/apache/superset/pull/42409
42410,SEPURI-SAI-KRISHNA,False,fix,fix(chart-data): validate select()'s exclude option instead of raising 500s,2026-07-25T05:25:30Z,2026-08-27T19:14:34Z,https://github.com/apache/superset/pull/42410
42411,SEPURI-SAI-KRISHNA,False,other,chore(database): remove dead extra validation exception classes,2026-07-25T05:25:56Z,2026-08-25T22:14:17Z,https://github.com/apache/superset/pull/42411
42429,rusackas,False,fix,fix(country-map): give Alborz its own ISO code instead of reusing Tehran's,2026-07-26T02:48:32Z,2026-08-25T23:59:49Z,https://github.com/apache/superset/pull/42429
42430,hainenber,False,other,chore(ci): resolve shellcheck-flagged errors ,2026-07-26T04:26:42Z,2026-08-02T17:09:05Z,https://github.com/apache/superset/pull/42430
42434,hainenber,False,dependency,feat(build): migrate from Prettier to Oxfmt for performant code formatting,2026-07-26T08:14:26Z,2026-08-03T17:27:06Z,https://github.com/apache/superset/pull/42434
42435,anupamme,False,dependency,fix: upgrade brace-expansion to 5.0.8 (CVE-2026-14257),2026-07-26T08:23:53Z,2026-08-13T05:23:34Z,https://github.com/apache/superset/pull/42435
42437,bmuraykhi,False,feature,feat(formatting): add network throughput number formats for bits/s and bytes/s,2026-07-26T12:38:24Z,2026-08-10T19:29:06Z,https://github.com/apache/superset/pull/42437
42438,prathamesh04,False,fix,fix(i18n): make language pack endpoint public for embedded dashboards,2026-07-26T13:32:06Z,2026-08-29T03:46:28Z,https://github.com/apache/superset/pull/42438
42463,Abdulrehman-PIAIC80387,False,fix,fix(dataset): make post-save column refresh best-effort for Jinja SQL,2026-07-27T07:45:14Z,2026-08-05T03:40:10Z,https://github.com/apache/superset/pull/42463
42474,dangdtr,False,other,perf(dashboard): avoid query context N+1 queries,2026-07-27T11:15:36Z,2026-08-09T00:27:04Z,https://github.com/apache/superset/pull/42474
42475,SkinnyPigeon,False,fix,fix(chart): dataset dropdown sorted by name,2026-07-27T11:35:39Z,2026-08-11T20:45:49Z,https://github.com/apache/superset/pull/42475
42476,dangdtr,False,other,perf(charts): reuse datasource in query context,2026-07-27T11:38:28Z,2026-08-11T21:31:48Z,https://github.com/apache/superset/pull/42476
42479,durgaprasadml,False,fix,fix(sqllab): allow SQL Lab query owners to create charts without all_datasource_access,2026-07-27T13:15:08Z,2026-08-24T23:51:58Z,https://github.com/apache/superset/pull/42479
42480,SkinnyPigeon,False,fix,fix(explore): recompute currency_formats when dataset is saved from c…,2026-07-27T13:16:39Z,2026-08-05T03:41:07Z,https://github.com/apache/superset/pull/42480
42481,alexandrusoare,False,feature,feat(reports): add retry on failure support for reports,2026-07-27T13:36:25Z,2026-08-04T15:04:32Z,https://github.com/apache/superset/pull/42481
42482,sadpandajoe,False,fix,fix(ci): use current actions for Docker refresh,2026-07-27T13:49:22Z,2026-08-11T19:04:10Z,https://github.com/apache/superset/pull/42482
42488,rusackas,False,fix,fix(ci): stop superseded Docs Deployment runs from showing as cancelled,2026-07-27T19:55:53Z,2026-08-14T19:14:09Z,https://github.com/apache/superset/pull/42488
42490,aminghadersohi,False,fix,fix(mcp): bind all generated charts to dashboard time filters,2026-07-27T22:49:35Z,2026-08-14T20:07:51Z,https://github.com/apache/superset/pull/42490
42491,yousoph,False,fix,fix(dashboard): make chart error messages expandable again,2026-07-28T00:08:09Z,2026-08-01T22:26:31Z,https://github.com/apache/superset/pull/42491
42494,bxsx,False,feature,feat(alerts-reports): add per-schedule toggle to include/exclude the Explore in Superset link,2026-07-28T00:37:47Z,2026-08-08T04:05:17Z,https://github.com/apache/superset/pull/42494
42495,bxsx,False,fix,fix(docker): replace stale superset_app hostname in dev WEBDRIVER_BASEURL,2026-07-28T00:47:12Z,2026-08-05T16:31:11Z,https://github.com/apache/superset/pull/42495
42498,rusackas,False,other,ci: speed up backend CI with astral-sh/setup-uv and apt package caching,2026-07-28T04:36:44Z,2026-08-13T20:14:24Z,https://github.com/apache/superset/pull/42498
42500,rusackas,False,other,ci: run pre-commit checks via prek,2026-07-28T04:45:16Z,2026-08-13T17:28:12Z,https://github.com/apache/superset/pull/42500
42502,dangdtr,False,fix,fix(dashboard): preserve duplicate chart holders in filter scopes,2026-07-28T05:02:37Z,2026-08-04T19:24:26Z,https://github.com/apache/superset/pull/42502
42503,rusackas,False,feature,feat(ci): publish Python unit test results as PR check annotations,2026-07-28T05:05:41Z,2026-08-13T17:26:43Z,https://github.com/apache/superset/pull/42503
42504,rusackas,False,feature,feat(ci): auto-label PRs with merge conflicts using requires:rebase,2026-07-28T05:10:58Z,2026-08-01T17:38:03Z,https://github.com/apache/superset/pull/42504
42507,rusackas,False,other,ci: add Kesin11/actions-timeline to the heavy CI workflows,2026-07-28T05:23:35Z,2026-08-02T21:53:28Z,https://github.com/apache/superset/pull/42507
42509,rusackas,False,fix,fix(ci): stop py311/py312 docker builds from silently matching lean,2026-07-28T05:38:15Z,2026-08-14T19:07:24Z,https://github.com/apache/superset/pull/42509
42511,rusackas,False,other,ci(frontend): track bundle size over time with benchmark-action,2026-07-28T07:07:47Z,2026-08-15T00:40:46Z,https://github.com/apache/superset/pull/42511
42525,dependabot[bot],True,dependency,chore(deps-dev): bump @testing-library/jest-dom from 6.9.1 to 7.0.0 in /superset-frontend,2026-07-28T07:35:27Z,2026-08-03T02:00:45Z,https://github.com/apache/superset/pull/42525
42528,dependabot[bot],True,dependency,chore(deps): bump react-window and @types/react-window in /superset-frontend,2026-07-28T07:38:37Z,2026-08-08T06:02:27Z,https://github.com/apache/superset/pull/42528
42533,rusackas,False,fix,fix(chart): stop duplicate metrics when switching between Waterfall and other chart types,2026-07-28T10:26:11Z,2026-08-03T16:22:22Z,https://github.com/apache/superset/pull/42533
42535,mikebridge,False,fix,fix(semantic-layers): survive large multi-metric selection in Semantic View modal,2026-07-28T14:36:54Z,2026-08-03T19:01:55Z,https://github.com/apache/superset/pull/42535
42541,AmoghAtreya,False,fix,fix(export): truncate exported filenames to prevent Windows path extraction errors (#42531),2026-07-28T16:42:36Z,2026-08-27T15:48:58Z,https://github.com/apache/superset/pull/42541
42542,rusackas,False,dependency,chore(sqla2): bump SQLAlchemy-dependent drivers to dual-compat versions,2026-07-28T17:13:05Z,2026-08-05T00:08:41Z,https://github.com/apache/superset/pull/42542
42548,rusackas,False,fix,fix(core): let UnsavedChangesModal use Ant Design's automatic z-index stacking,2026-07-29T07:05:18Z,2026-08-11T16:42:50Z,https://github.com/apache/superset/pull/42548
42559,chkang83,False,fix,fix(echarts): guard cross-filter when labelMap entry is missing,2026-07-29T08:01:07Z,2026-08-28T04:49:22Z,https://github.com/apache/superset/pull/42559
42561,jenwitteng,False,fix,fix(dashboard): force-render virtualized charts before client-side export,2026-07-29T10:20:15Z,2026-08-10T17:57:22Z,https://github.com/apache/superset/pull/42561
42563,ayush-sharaf,False,other,chore: add logging event for drill to detail,2026-07-29T11:14:12Z,2026-08-11T20:47:00Z,https://github.com/apache/superset/pull/42563
42571,aminghadersohi,False,fix,fix(mcp): accept changed_on_delta_humanized as order_column in list tools,2026-07-29T15:22:01Z,2026-08-14T20:11:47Z,https://github.com/apache/superset/pull/42571
42573,sadpandajoe,False,fix,fix(plugin-chart-table): align sticky header column dividers with table body,2026-07-29T16:03:12Z,2026-08-06T22:40:45Z,https://github.com/apache/superset/pull/42573
42576,aminghadersohi,False,fix,fix(mcp): handle missing metrics/columns and null data in chart preview,2026-07-29T17:49:15Z,2026-08-04T23:59:47Z,https://github.com/apache/superset/pull/42576
42577,0xdorian-sm,False,fix,fix(i18n-fr): translate the 85 remaining untranslated strings,2026-07-29T18:50:41Z,2026-08-01T17:39:59Z,https://github.com/apache/superset/pull/42577
42581,aminghadersohi,False,fix,fix(dataset): retry metadata after OAuth2 authorization,2026-07-29T20:54:58Z,2026-08-01T00:41:43Z,https://github.com/apache/superset/pull/42581
42588,rusackas,False,fix,fix(sql): guard FORCE_LIMIT against SHOW statements (#36939),2026-07-29T23:32:05Z,2026-08-12T06:33:16Z,https://github.com/apache/superset/pull/42588
42591,rusackas,False,other,"test(deckgl): Polygon chart with a column literally named ""polygon"" (#33669)",2026-07-29T23:44:00Z,2026-08-06T03:27:13Z,https://github.com/apache/superset/pull/42591
42592,rusackas,False,fix,fix(select): permission label search matches displayed label (#42041),2026-07-30T00:02:44Z,2026-08-12T15:58:23Z,https://github.com/apache/superset/pull/42592
42594,rusackas,False,fix,fix(echarts): normalize BigInt metric values before summing/dividing in stacked charts (#36401),2026-07-30T00:45:03Z,2026-08-13T20:14:34Z,https://github.com/apache/superset/pull/42594
42595,rusackas,False,other,test(jinja): pin filter_values() drill-to-detail native-filter fallback for virtual datasets (#35263),2026-07-30T00:54:27Z,2026-08-02T21:44:38Z,https://github.com/apache/superset/pull/42595
42596,rusackas,False,fix,"fix(filters): sort numeric filter values numerically, not lexicographically (#36775)",2026-07-30T00:56:01Z,2026-08-05T06:06:40Z,https://github.com/apache/superset/pull/42596
42597,rusackas,False,fix,fix(caching): sort extra_cache_keys before hashing (#34543),2026-07-30T00:56:31Z,2026-08-12T06:34:01Z,https://github.com/apache/superset/pull/42597
42598,rusackas,False,fix,fix(metadb): apply SUPERSET_META_DB_LIMIT after join instead of per-table (#36304),2026-07-30T00:56:32Z,2026-08-26T02:31:11Z,https://github.com/apache/superset/pull/42598
42599,rusackas,False,other,test(echarts): pin Bar chart X Axis Title flows through untouched (#42560),2026-07-30T01:01:54Z,2026-08-13T17:27:33Z,https://github.com/apache/superset/pull/42599
42601,rusackas,False,fix,fix(pivot-table): keep D3_FORMAT-styled numbers intact in pivoted Excel export,2026-07-30T01:54:59Z,2026-08-27T19:55:58Z,https://github.com/apache/superset/pull/42601
42602,rusackas,False,fix,fix(docs): sync live component demos to the docs site's dark mode toggle,2026-07-30T01:55:24Z,2026-08-13T17:15:55Z,https://github.com/apache/superset/pull/42602
42603,Herestothegamers,False,fix,fix(database): resolve default schema when file upload schema is empty,2026-07-30T05:23:11Z,2026-08-10T20:56:48Z,https://github.com/apache/superset/pull/42603
42610,rusackas,False,fix,fix(explore): pin and fix clipped segments in horizontal row-contribution stacked bar charts,2026-07-30T08:02:40Z,2026-08-12T09:42:16Z,https://github.com/apache/superset/pull/42610
42619,aminghadersohi,False,fix,fix(core): reduce metric expression log noise,2026-07-30T17:12:32Z,2026-08-04T23:35:03Z,https://github.com/apache/superset/pull/42619
42621,verdier,False,fix,fix(mcp): report the committed chart when its instance is detached,2026-07-30T19:45:19Z,2026-08-02T21:56:47Z,https://github.com/apache/superset/pull/42621
42623,rusackas,False,other,docs(db_engine_specs): link upstream Pinot timestamp fix in TODO,2026-07-30T20:49:48Z,2026-08-01T17:39:14Z,https://github.com/apache/superset/pull/42623
42624,fitzee,False,fix,fix(reports): enforce dashboard readiness and execution budget,2026-07-30T23:01:46Z,2026-08-05T21:30:35Z,https://github.com/apache/superset/pull/42624
42629,goingforstudying-ctrl,False,fix,fix(mcp): give concurrent tool calls isolated db sessions,2026-07-31T07:13:24Z,2026-08-13T18:05:41Z,https://github.com/apache/superset/pull/42629
42637,dependabot[bot],True,dependency,chore(deps): bump antd from 6.5.1 to 6.5.2 in /superset-frontend,2026-07-31T07:34:20Z,2026-08-03T19:30:58Z,https://github.com/apache/superset/pull/42637
42640,endimonan,False,fix,fix(reports): use zip extension for bundled CSV attachments,2026-07-31T13:25:03Z,2026-08-05T04:09:20Z,https://github.com/apache/superset/pull/42640
42641,mikebridge,False,feature,feat(soft-delete): warn at startup when a retention task's Celery config is incomplete,2026-07-31T14:31:46Z,2026-08-05T18:12:09Z,https://github.com/apache/superset/pull/42641
42642,mikebridge,False,fix,fix(migrations): actually drop _customer_location_uc (list == set no-op),2026-07-31T14:38:15Z,2026-08-05T18:12:15Z,https://github.com/apache/superset/pull/42642
42643,eschutho,False,fix,fix(errors): map uncaught SupersetException status/log-level correctly,2026-07-31T15:19:54Z,2026-08-03T22:03:01Z,https://github.com/apache/superset/pull/42643
42644,aminghadersohi,False,fix,fix(oauth2): log database token failures,2026-07-31T15:49:19Z,2026-08-13T16:54:56Z,https://github.com/apache/superset/pull/42644
42646,LALITH0110,False,other,docs: fix parameter name in Explorable.get_query_result docstring,2026-07-31T16:10:28Z,2026-08-04T17:15:06Z,https://github.com/apache/superset/pull/42646
42652,yousoph,False,fix,fix(sqllab): stop OAuth2 banner from ballooning the database selector popover,2026-07-31T17:45:25Z,2026-08-05T22:40:43Z,https://github.com/apache/superset/pull/42652
42653,sadpandajoe,False,dependency,chore(deps): require manual deck.gl upgrades,2026-07-31T17:54:42Z,2026-08-05T03:06:08Z,https://github.com/apache/superset/pull/42653
42654,sadpandajoe,False,fix,fix(versioning): narrow UUIDs in restore tests,2026-07-31T17:54:42Z,2026-08-02T16:54:31Z,https://github.com/apache/superset/pull/42654
42655,aminghadersohi,False,fix,fix(mcp): preserve table chart state during updates,2026-07-31T18:40:46Z,2026-08-13T16:54:05Z,https://github.com/apache/superset/pull/42655
42656,aminghadersohi,False,feature,feat(mcp): filter asset lists by certification,2026-07-31T18:43:11Z,2026-08-12T04:12:38Z,https://github.com/apache/superset/pull/42656
42657,eschutho,False,other,chore(reports): thread cache-key/execution-id log context through screenshot capture logs,2026-07-31T21:36:34Z,2026-08-06T16:43:12Z,https://github.com/apache/superset/pull/42657
42658,aminghadersohi,False,fix,fix(mcp): expose table column formatting,2026-07-31T21:40:05Z,2026-08-13T19:21:44Z,https://github.com/apache/superset/pull/42658
42660,justinpark,False,fix,fix(mcp): missing params in MCP tool call logs,2026-07-31T22:40:05Z,2026-08-03T15:38:22Z,https://github.com/apache/superset/pull/42660
42663,dependabot[bot],True,dependency,chore(deps): bump cachetools from 7.1.4 to 7.1.6,2026-08-01T07:04:16Z,2026-08-02T10:06:14Z,https://github.com/apache/superset/pull/42663
42664,dependabot[bot],True,dependency,chore(deps): bump croniter from 6.2.2 to 6.2.4,2026-08-01T07:04:21Z,2026-08-02T10:22:57Z,https://github.com/apache/superset/pull/42664
42665,dependabot[bot],True,dependency,"chore(deps-dev): update pyathena requirement from <4,>=2 to >=3.35.2,<4",2026-08-01T07:04:34Z,2026-08-02T16:44:49Z,https://github.com/apache/superset/pull/42665
42666,dependabot[bot],True,dependency,chore(deps): bump polyline from 2.0.2 to 2.0.4,2026-08-01T07:04:40Z,2026-08-02T10:22:48Z,https://github.com/apache/superset/pull/42666
42667,dependabot[bot],True,dependency,"chore(deps-dev): update thrift requirement from <1.0.0,>=0.23.0 to >=0.24.0,<1.0.0",2026-08-01T07:04:46Z,2026-08-02T16:45:08Z,https://github.com/apache/superset/pull/42667
42668,dependabot[bot],True,dependency,"chore(deps-dev): update databricks-sql-connector requirement from <4.4.0,>=4.2.6 to >=4.4.0,<4.5.0",2026-08-01T07:04:56Z,2026-08-02T16:36:20Z,https://github.com/apache/superset/pull/42668
42669,dependabot[bot],True,dependency,"chore(deps-dev): update clickhouse-connect requirement from <2.0,>=1.4.2 to >=1.6.0,<2.0",2026-08-01T07:05:03Z,2026-08-02T10:05:58Z,https://github.com/apache/superset/pull/42669
42670,dependabot[bot],True,dependency,chore(deps): bump greenlet from 3.5.3 to 3.5.4,2026-08-01T07:05:13Z,2026-08-02T10:05:34Z,https://github.com/apache/superset/pull/42670
42672,dependabot[bot],True,dependency,chore(deps-dev): bump prophet from 1.2.0 to 1.3.0,2026-08-01T07:05:36Z,2026-08-02T10:05:20Z,https://github.com/apache/superset/pull/42672
42675,eschutho,False,fix,fix(sqllab): roll back session before retrying get_query after a broken transaction,2026-08-01T15:16:30Z,2026-08-03T22:04:29Z,https://github.com/apache/superset/pull/42675
42677,hainenber,False,fix,fix(ci): remove extraneous plugins build job,2026-08-02T17:07:49Z,2026-08-09T00:27:52Z,https://github.com/apache/superset/pull/42677
42680,dependabot[bot],True,dependency,chore(deps): bump the storybook group in /docs with 2 updates,2026-08-03T07:04:29Z,2026-08-03T14:44:37Z,https://github.com/apache/superset/pull/42680
42681,dependabot[bot],True,dependency,chore(deps): bump baseline-browser-mapping from 2.11.1 to 2.11.4 in /docs,2026-08-03T07:05:25Z,2026-08-03T14:45:22Z,https://github.com/apache/superset/pull/42681
42682,dependabot[bot],True,dependency,chore(deps-dev): bump globals from 17.7.0 to 17.8.0 in /docs,2026-08-03T07:05:36Z,2026-08-03T14:45:03Z,https://github.com/apache/superset/pull/42682
42683,dependabot[bot],True,dependency,chore(deps-dev): bump eslint from 10.7.0 to 10.8.0 in /superset-websocket,2026-08-03T07:05:55Z,2026-08-03T14:43:17Z,https://github.com/apache/superset/pull/42683
42684,dependabot[bot],True,dependency,chore(deps-dev): bump globals from 17.7.0 to 17.8.0 in /superset-websocket,2026-08-03T07:06:07Z,2026-08-03T14:42:49Z,https://github.com/apache/superset/pull/42684
